,Vocab,Word
373,hånden,4863
374,iog,5163
375,ånd,13048
376,trolig,11620
377,bi,624
378,verden,12418
379,bygge,1191
380,lykken,6671
381,stå,10782
382,rykke,8868
383,minde,7227
384,glasset,3646
385,tiden,11356
386,evigheden,2271
387,forestår,2792
388,morgenhanen,7335
389,atter,319
390,gol,3767
391,golslog,3774
392,dugget,1846
393,vinge,12554
394,solvil,10127
395,bringe,1004
396,ham,4142
397,lønover,6910
398,sole,10069
399,morgenrøden,7342
400,skøn,9785
401,signer,9297
402,skole,9564
403,skabt,9419
404,dåd,1930
405,skumringen,9672
406,hvile,4745
407,målte,7474
408,tråd,11674
409,derfor,1574
410,ile,5072
411,gøre,4098
412,gavn,3533
413,mens,7142
414,prøve,8452
415,vore,12700
416,kræfter,5949
417,visse,12651
418,kårrette,6097
419,derefter,1572
420,ord,8109
421,skrift,9611
422,bogskal,909
423,ungdom,12106
424,lære,6837
425,bruge,1055
426,sprog,10325
427,ære,13150
428,manddom,6986
429,klog,5604
430,stærk,10809
431,svare,10918
432,navnet,7638
433,krone,5894
434,skolens,9567
435,ungdomsværk,12114
436,vise,12639
437,gavnet,3535
438,love,6561
439,lærte,6862
440,barnet,412
441,moders,7284
442,favn,2429
443,sødt,11140
444,kan,5383
445,sove,10224
446,arbejd,262
447,fuglen,3241
448,vang,12254
449,udflyver,11973
450,genfødt,3556
451,ved,12306
452,nattehvile,7606
453,betyder,609
454,glæde,3701
455,glædelig,3705
456,leves,6388
457,måtte,7495
458,græde,3892
459,frit,3153
460,enhver,2203
461,sit,9354
462,stole,10578
463,får,3335
464,allerbedste,147
465,nedgår,7664
466,gjort,3625
467,skinne,9524
468,himmellys,4460
469,skønt,9794
470,små,9973
471,randt,8555
472,guldterning,3989
473,ringer,8728
474,klokker,5611
475,mod,7275
476,sky,9679
477,kimer,5486
478,fjerne,2564
479,riger,8701
480,søndag,11177
481,højt,4988
482,nystor,7825
483,stiger,10491
484,toner,11495
485,bønfra,1323
486,jord,5244
487,paradis,8203
488,haven,4206
489,frelser,3073
490,graven,3799
491,gravens,3800
492,dyb,1881
493,steg,10452
494,ned,7652
495,gik,3597
496,dødes,1975
